,name,model,psnr,ssim,lpips
51,00785.png,HAT,21.23985462726981,0.6117292,0.3832783102989197
52,00788.png,HAT,24.594023788903606,0.7331958,0.24278587102890015
53,00790.png,HAT,28.20528903743942,0.88193434,0.12461605668067932
54,00796.png,HAT,21.09990925617471,0.58986205,0.4002242982387543
55,00802.png,HAT,23.751704107894103,0.6943776,0.30268049240112305
56,00807.png,HAT,25.66479969702009,0.8156264,0.21413631737232208
57,00813.png,HAT,24.37005340247747,0.694498,0.4745667278766632
58,00820.png,HAT,30.28605404171052,0.7983567,0.23429717123508453
59,00862.png,HAT,26.56110731800046,0.8228135,0.20245324075222015
60,00877.png,HAT,23.746686006982355,0.7741365,0.26097041368484497
61,00885.png,HAT,22.253657975160863,0.8315933,0.3049018383026123
62,00901.png,HAT,24.14993031645048,0.6620776,0.3286511301994324
63,00908.png,HAT,30.761145737380144,0.9172904,0.10040639340877533
64,00930.png,HAT,23.63582686890628,0.73491746,0.2555544376373291
65,00948.png,HAT,23.71569671766599,0.7669609,0.21795687079429626
66,00950.png,HAT,20.37028924028658,0.6311515,0.33484333753585815
67,00959.png,HAT,23.77794232996273,0.7715068,0.21713989973068237
68,00975.png,HAT,22.297663381395957,0.7571492,0.2136910855770111
69,00999.png,HAT,29.43987720841962,0.8364013,0.17084123194217682
70,01009.png,HAT,30.770888583769572,0.91914916,0.092317596077919
71,01010.png,HAT,24.11360341563032,0.7492272,0.26525288820266724
72,01045.png,HAT,27.62700952728562,0.73668617,0.3182303011417389
73,01046.png,HAT,25.018506614835015,0.69815826,0.43235400319099426
74,01056.png,HAT,21.682287482671963,0.54390866,0.5613625049591064
75,01069.png,HAT,25.470013814594303,0.7749583,0.19258946180343628
76,01075.png,HAT,23.385652091405554,0.7886184,0.18052713572978973
77,01083.png,HAT,29.23992500259653,0.76935124,0.30792930722236633
78,01097.png,HAT,21.859003370950937,0.53408366,0.4078560173511505
79,01110.png,HAT,21.517724774459815,0.6998393,0.327616810798645
80,01207.png,HAT,20.344026621647746,0.7557363,0.31757447123527527
81,01223.png,HAT,25.520300100175056,0.7927466,0.22746127843856812
82,01226.png,HAT,21.592831882643083,0.6511318,0.2920529246330261
83,01228.png,HAT,23.425553703616707,0.7890493,0.17821189761161804
84,01262.png,HAT,25.72674591813625,0.74898386,0.27454012632369995
85,01274.png,HAT,24.644221401812963,0.6301549,0.3779405355453491
86,01283.png,HAT,17.624570979734074,0.75493425,0.23295164108276367
87,01324.png,HAT,17.44973330351997,0.75767565,0.23292776942253113
88,01342.png,HAT,28.363096133236418,0.8205471,0.28750526905059814
89,01376.png,HAT,30.960460143602347,0.9210906,0.0812782272696495
90,01415.png,HAT,25.859661906954166,0.89200944,0.09940235316753387
91,01435.png,HAT,27.670177658117407,0.76955384,0.30326879024505615
92,01437.png,HAT,24.388137359601842,0.73479134,0.2712884545326233
93,01453.png,HAT,25.570697884509116,0.79134965,0.22695757448673248
94,01458.png,HAT,19.267307036180192,0.626736,0.5756710171699524
95,01462.png,HAT,23.153706218990976,0.5852199,0.3905469477176666
96,01478.png,HAT,26.36813916348256,0.76420265,0.1394994705915451
97,01481.png,HAT,17.536416699570122,0.74854875,0.23800715804100037
98,01493.png,HAT,28.318558474421156,0.83420354,0.18611446022987366
99,01506.png,HAT,25.620464416180404,0.8118898,0.19982706010341644
100,01522.png,HAT,22.711494459712473,0.72272325,0.28272420167922974
101,01551.png,HAT,23.822636770671686,0.722003,0.2984807789325714
102,01556.png,HAT,24.889750406215665,0.832191,0.155866801738739
103,01565.png,HAT,27.65949686351277,0.83126336,0.1835959255695343
104,01571.png,HAT,30.116643382235942,0.8314578,0.17447659373283386
105,01589.png,HAT,26.893030290456288,0.89261395,0.14125193655490875
106,01609.png,HAT,24.163479664511826,0.6452679,0.35723328590393066
107,01635.png,HAT,29.108583813910208,0.8968968,0.1649208962917328
108,01640.png,HAT,19.55112778560884,0.51193506,0.4517984688282013
109,01655.png,HAT,17.98088739266042,0.57781535,0.5929867625236511
110,01659.png,HAT,21.231009600603578,0.7683089,0.21172940731048584
111,01661.png,HAT,20.96298302425261,0.6140983,0.5494191646575928
